,Standard name,S score (FLC-NoDrug),RNA Seq A17 in vs. out
658,C1_09260C,7.35485497612,-0.072
659,C1_09270W,3.87246220904,-0.394
660,C1_09280W,3.87246220904,0.087
661,C1_09290C,0.929389277124,2.528
662,C1_09300C,-3.50918373662,1.785
663,C1_09310C,2.84171375878,-1.071
664,C1_09320C,6.11890010434,-1.375
665,C1_09330W,3.77595422819,-1.17
666,C1_09340C,3.90299657719,-0.097
667,C1_09350W,2.51082440435,-0.597
668,C1_09360C,5.09606647004,-0.856
669,C1_09370W,5.05178590848,-0.989
670,C1_09380W,3.16493306611,0.174
671,C1_09390W,6.26073279876,-0.075
672,C1_09400C,3.75462571875,2.83
673,C1_09410W,3.4548507661,0.191
674,C1_09420W,0.869888265375,0.294
675,C1_09430W,3.83562544086,-1.512
676,C1_09470C,3.74435738329,0.845
677,C1_09500W,3.63299627434,-1.021
678,C1_09520C,1.43033448649,-0.558
679,C1_09540W,2.84389305684,-1.138
680,C1_09550W,7.57290192718,-0.911
681,C1_09560C,5.00739178913,
682,C1_09570W,0.322027391446,-0.201
683,C1_09580C,4.78499936779,-1.723
684,C1_09590C,5.36996186851,1.938
685,C1_09600C,0.200036867068,0.572
686,C1_09610W,5.41435598787,-0.416
687,C1_09620C,0.71788517193,1.905
688,C1_09650W,4.39380861046,-0.929
689,C1_09660W,3.4403511964,1.567
690,C1_09680W,2.38193451018,1.65
691,C1_09690W,6.08878011597,0.827
692,C1_09700W,-5.91544035035,-0.46
693,C1_09720W,-4.96988813437,-0.578
694,C1_09730W,-3.02235555427,0.424
695,C1_09750W,-5.76958948389,-0.561
696,C1_09760C,-6.96988813437,0.331
697,C1_09770W,-6.32352508899,-1.153
698,C1_09780C,-4.67443225085,1.05
699,C1_09790C,-1.79996313293,-1.085
700,C1_09800C,-5.85885682199,2.106
701,C1_09810W,-8.32352508899,1.586
702,C1_09820C,-3.38492563365,
703,C1_09830W,-7.99636034574,-0.939
704,C1_09840C,-4.46292814565,0.097
705,C1_09850C,-6.60731805499,-0.468
706,C1_09880C,-5.02235555427,-0.628
707,C1_09890C,-4.30246347346,
708,C1_09900W,-6.70685372854,0.893
709,C1_09910C,-5.38492563365,-0.237
710,C1_09920W,-4.79996313293,-0.906
711,C1_09930W,-7.73856258827,-0.773
712,C1_09940W,-4.79996313293,0.117
713,C1_09950C,-5.5369287271,0.285
714,C1_09970C,-1.79996313293,0.279
715,C1_09980C,-2.21500063221,1.711
716,C1_10000C,-1.79996313293,-0.24
717,C1_10010C,-4.60731805499,1.656
718,C1_10020W,-2.21500063221,-0.154
719,C1_10030W,-8.44381932271,-0.558
720,C1_10050W,-5.76958948389,0.097
721,C1_10060C,-7.44381932271,0.138
722,C1_10070C,-4.21500063221,-1.019
723,C1_10080W,-3.21500063221,-0.153
724,C1_10090C,-4.60731805499,0.336
725,C1_10110W,-3.02235555427,-0.093
726,C1_10130W,-2.79996313293,-0.523
727,C1_10140C,-1.79996313293,2.667
728,C1_10150W,-8.09764368157,3.269
729,C1_10170W,-3.79996313293,-5.141
730,C1_10180C,-4.12189122782,-1.209
731,C1_10190W,-4.30246347346,-1.221
732,C1_10200C,-3.79996313293,-1.303
733,C1_10210C,-5.12189122782,0.437
734,C1_10220C,-5.07298162734,-0.183
735,C1_10230C,-4.21500063221,-1.011
736,C1_10240C,-4.02235555427,3.395
737,C1_10250C,-5.38492563365,1.351
738,C1_10270C,-2.79996313293,2.128
739,C1_10280C,-6.14573796977,0.781
740,C1_10290W,-0.328657414007,1.3
741,C1_10300W,-4.36981874126,-0.788
742,C1_10310W,0.495492750594,-0.021
743,C1_10340W,-0.951966226377,-0.605
744,C1_10350C,1.20723236847,0.329
745,C1_10360C,4.64298036292,0.172
746,C1_10370W,-3.87035246082,1.745
747,C1_10400C,-2.02996873838,7.039
748,C1_10410W,-1.71750097274,1.331
749,C1_10420C,-0.352504155961,0.186
750,C1_10430W,-0.971075049325,-0.218
751,C1_10440W,-2.02235555427,-0.112
752,C1_10450W,-3.99889658144,-0.104
753,C1_10460W,-3.50040285107,-0.555
754,C1_10480W,-3.60731805499,-0.793
755,C1_10490W,0.396227523204,0.166
756,C1_10500W,-3.87796564493,2.295
757,C1_10510W,3.85108855825,0.636
758,C1_10520W,3.04803377362,1.729
759,C1_10530W,-3.77571558669,0.502
760,C1_10540C,5.39232968154,1.032
761,C1_10550C,-4.29592062759,0.954
762,C1_10560C,1.6245346956,1.42
763,C1_10570C,-2.74749571304,0.43
764,C1_10580C,-2.79996313293,0.974
765,C1_10590W,-2.89307253732,-4.249
766,C1_10600C,4.25748713925,3.829
767,C1_10610W,-0.674432250848,-0.928
768,C1_10640C,0.106927462676,-0.139
769,C1_10650W,-1.79996313293,-0.2
770,C1_10680C,3.85108855825,-0.708
771,C1_10700C,0.872462209039,1.924
772,C1_10710C,-3.36474775172,3.087
773,C1_10720C,2.78499936779,0.154
774,C1_10730W,-4.09764368157,0.085
775,C1_10740C,-2.78134745476,-2.547
776,C1_10750C,-2.21500063221,-0.577
777,C1_10760W,1.16746900461,-0.225
778,C1_10770W,-2.63003813149,-0.593
779,C1_10780C,-0.530502457939,0.263
780,C1_10800C,1.28749970832,-0.559
781,C1_10810W,-2.60731805499,-0.267
782,C1_10820C,-4.12189122782,0.311
783,C1_10840C,-0.60731805499,-0.709
784,C1_10850W,1.22860601926,-2.15
785,C1_10890C,-4.07298162734,-0.164
786,C1_10900C,-0.215000632211,
787,C1_10930C,-3.67443225085,-0.209
788,C1_10980W,-0.375465304404,-0.431
789,C1_10990C,0.900476585209,0.372
790,C1_11010C,-0.0558020373619,-0.416
791,C1_11020W,0.454850766097,-1.197
792,C1_11040W,-5.82971047633,-1.314
793,C1_11050W,-3.59493433053,-1.11
794,C1_11070W,-1.67443225085,-0.109
795,C1_11080W,3.42885555756,-0.223
796,C1_11100W,-0.712500291682,-0.648
797,C1_11110C,-0.0327973009904,-0.05
798,C1_11120C,-2.5369287271,0.774
799,C1_11140W,-1.79996313293,-1.008
800,C1_11150W,-2.02235555427,0.219
801,C1_11160C,-1.43739305355,-0.462
802,C1_11180C,-1.95196622638,-0.634
803,C1_11190W,-1.43739305355,-0.311
804,C1_11200W,-2.30246347346,-2.064
805,C1_11210C,-1.21500063221,0.526
806,C1_11230W,-1.35250415596,1.269
807,C1_11250W,-1.96988813437,1.158
808,C1_11270W,-6.28722895977,1.112
809,C1_11280W,2.4809931809,-2.254
810,C1_11290W,-5.82971047633,-1.175
811,C1_11310C,-4.91544035035,-1.756
812,C1_11320C,-4.50376186316,-3.206
813,C1_11330C,-3.83949149712,-0.042
814,C1_11340W,3.02707415499,0.659
815,C1_11350C,0.0745059849838,-0.443
816,C1_11370C,-0.762488427514,-0.568
817,C1_11390W,-7.10981839552,1.248
818,C1_11420W,-1.74551534891,-0.496
819,C1_11430W,1.82062327752,-0.488
820,C1_11440C,0.313548559605,2.791
821,C1_11470C,-0.215000632211,2.283
822,C1_11480W,-1.63003813149,-1.577
823,C1_11490C,1.78499936779,-3.127
824,C1_11510C,0.556730380116,-2.328
825,C1_11520C,1.03875596003,-1.43
826,C1_11530C,3.41726758329,0.06
827,C1_11540C,-2.82643534429,-0.293
828,C1_11560C,1.0580178622,0.331
829,C1_11570W,-1.93653618581,-0.755
830,C1_11580W,1.82452773198,-0.649
831,C1_11590W,1.71099878635,-0.523
832,C1_11600W,0.659468485705,0.512
833,C1_11610C,0.602135310639,-0.911
834,C1_11620W,0.521964961955,0.723
835,C1_11630C,1.56260694645,-0.13
836,C1_11640C,2.0187965524,-0.326
837,C1_11650W,-0.11546495866,0.528
838,C1_11660W,2.56460929936,0.465
839,C1_11670W,1.59235428985,-2.578
840,C1_11680C,-2.5775707116,-1.552
841,C1_11690W,-4.34428364916,-0.546
842,C1_11700C,1.56193136927,1.455
843,C1_11710C,1.36996186851,1.203
844,C1_11720W,0.952109353624,2.457
845,C1_11730W,-3.46537546607,2.558
846,C1_11740W,-2.95196622638,0.911
847,C1_11750W,-0.63003813149,0.449
848,C1_11760C,2.21384266659,1.308
849,C1_11770C,-3.56292393563,-0.184
850,C1_11780W,-1.43739305355,-0.425
851,C1_11800C,1.82541363623,1.845
852,C1_11810W,0.702537207597,1.301
853,C1_11820W,0.599967473956,
854,C1_11830W,1.42885555756,
855,C1_11850W,0.147569447174,-0.204
856,C1_11860W,0.48543908593,1.295
857,C1_11870W,2.28749970832,-1.156
858,C1_11890W,-3.07298162734,0.212
859,C1_11900C,0.0508934277619,0.863
860,C1_11920W,0.897893424195,0.806
861,C1_11930W,-0.414309440435,0.6
862,C1_11940C,3.48543908593,1.188
863,C1_11950W,-1.79996313293,0.227
864,C1_11960C,-1.11770343086,0.426
865,C1_11970C,0.132922671209,-0.098
866,C1_11990W,-2.1854563566,3.65
867,C1_12000C,0.13647173829,2.804
868,C1_12010C,0.942540644775,-0.044
869,C1_12020W,3.07450598498,-0.492
870,C1_12060C,1.04803377362,1.92
871,C1_12070C,1.15055948978,1.768
872,C1_12080W,3.1710578001,0.661
873,C1_12090C,1.78499936779,1.278
874,C1_12100C,3.59235428985,-0.782
875,C1_12110C,-1.52166197045,0.419
876,C1_12120W,1.6594684857,-0.521
877,C1_12130C,-2.55287027097,-0.652
878,C1_12140W,-2.69715232735,-0.323
879,C1_12150C,3.40390920043,0.147
880,C1_12160W,-0.0223555542688,1.071
881,C1_12170C,-0.988996957322,-0.337
882,C1_12180C,0.400128129493,2.247
883,C1_12190W,-3.67443225085,-0.063
884,C1_12210W,-1.29300314421,0.508
885,C1_12230W,1.30139758203,-1.089
886,C1_12240C,1.867100448,0.857
887,C1_12250C,-3.10808542829,0.699
888,C1_12270W,-2.5039783053,-0.685
889,C1_12290C,-0.454466566907,-1.147
890,C1_12300W,4.9217575053,-0.552
891,C1_12320C,-0.700427459381,1.612
892,C1_12330W,0.550534114152,2.322
893,C1_12370W,3.09375207393,-0.407
894,C1_12400C,-1.38101058365,0.121
895,C1_12410C,3.67577029803,0.022
896,C1_12420C,4.30856132385,0.447
897,C1_12430W,2.30762481291,-0.124
898,C1_12440W,-2.69612732195,-0.33
899,C1_12450C,-2.76988179369,-2.393
900,C1_12460C,0.629802703497,-3.168
901,C1_12470W,0.412087344183,-2.994
902,C1_12490W,-1.45600873171,-0.474
903,C1_12500C,-2.42445399784,
904,C1_12510W,2.2501220985,-2.062
905,C1_12530C,3.29279400799,-0.081
906,C1_12540W,-0.132538472019,0.104
907,C1_12560C,5.36996186851,-0.077
908,C1_12570C,1.29401301528,-0.225
909,C1_12580W,0.275324994372,-0.367
910,C1_12590W,-0.215000632211,0.65
911,C1_12620W,-0.577570711596,-0.581
912,C1_12630C,-0.0629975387661,0.871
913,C1_12640W,1.42885555756,0.587
914,C1_12650C,-1.46497888522,0.654
915,C1_12700W,2.53988686995,0.133
916,C1_12710C,2.08045525132,0.202
917,C1_12720C,2.92250289154,0.719
918,C1_12730W,-1.33245821376,-0.456
919,C1_12740W,-0.357444897231,0.91
920,C1_12780W,-0.156106943158,0.915
921,C1_12790C,-1.79528664572,-1.779
922,C1_12800W,-0.215000632211,0.092
923,C1_12830C,1.73919567818,1.055
924,C1_12840W,-3.98759013611,1.626
925,C1_12860C,2.04238721048,-0.826
926,C1_12870C,1.64629309696,-1.096
927,C1_12880C,-0.176268237722,1.489
928,C1_12890W,-1.21500063221,1.517
929,C1_12900W,0.784999367789,-0.734
930,C1_12910W,1.32243349843,2.005
931,C1_12920C,-0.700427459381,0.332
932,C1_12930C,-3.63003813149,0.65
933,C1_12940C,1.00739178913,0.281
934,C1_12950W,-3.81703664629,-0.542
935,C1_12960C,1.75545509217,-1.085
936,C1_12980W,2.20240777153,0.394
937,C1_12990W,-0.63003813149,0.365
938,C1_13000W,-0.00854975474374,-0.37
939,C1_13040C,0.562606946452,-2.04
940,C1_13070C,0.463071272901,1.653
941,C1_13080W,2.17731679057,0.971
942,C1_13090W,0.147569447174,1.331
943,C1_13100W,0.632996274344,-2.814
944,C1_13110C,1.26416720449,-0.559
945,C1_13120C,1.99445273342,-0.031
946,C1_13130C,-1.96223456183,-1.149
947,C1_13140C,2.16542311199,-2.328
948,C1_13150W,1.13292267121,-1.225
949,C1_13160W,2.94487070457,-0.211
950,C1_13170C,3.72918850482,0.322
951,C1_13180W,1.82062327752,0.974
952,C1_13190W,0.422429288404,0.301
953,C1_13200C,1.59235428985,-0.478
954,C1_13210C,-0.41749349611,-0.215
955,C1_13220C,-2.38492563365,0.97
956,C1_13240W,0.417267583288,-1.676
957,C1_13250W,-1.37727206111,-1.699
958,C1_13260W,1.7410560202,0.228
959,C1_13270W,0.287499708318,0.236
960,C1_13290W,3.68053010123,0.355
961,C1_13310W,-0.0450756307689,-0.336
962,C1_13320C,-0.985518786088,-0.577
963,C1_13330C,-3.94183184924,-1.149
964,C1_13350W,3.28749970832,-0.97
965,C1_13360C,-0.147886436353,-0.994
966,C1_13390W,1.86644918141,-0.536
967,C1_13400C,-0.951966226377,0.843
968,C1_13410W,3.79000004885,0.377
969,C1_13420C,0.297449368726,-0.494
970,C1_13430C,2.04803377362,0.023
971,C1_13440C,3.55053411415,-3.589
972,C1_13450W,4.98139658059,1.921
973,C1_13460W,1.04803377362,1.575
974,C1_13470W,4.57290192718,0.344
975,C1_13480W,2.47958635968,0.597
976,C1_13490C,1.44796438051,-0.374
977,C1_13500C,0.39797624468,0.17
978,C1_13510C,0.850587709416,0.637
979,C1_13520C,0.75194107921,1.169
980,C1_13530W,0.403909200433,-1.01
981,C1_13560W,7.21126412249,0.49
982,C1_13570W,0.592354289846,0.541
983,C1_13590W,2.65717375794,0.67
984,C1_13600W,0.0365381347848,0.483
985,C1_13610C,1.52974231255,-0.909
986,C1_13620W,2.10692746268,-0.841
987,C1_13630W,1.19217474929,1.275
988,C1_13640W,0.0329268812324,-0.239
989,C1_13650C,1.36011408255,-0.035
990,C1_13660W,1.5734952626,1.31
991,C1_13670W,1.04803377362,1.456
992,C1_13690C,2.14255137241,-0.056
993,C1_13720W,2.32497441374,0.566
994,C1_13740W,2.70837808619,0.425
995,C1_13750C,-0.74551534891,-0.708
996,C1_13770C,3.36326721594,0.152
997,C1_13790C,0.868564084428,0.35
998,C1_13800C,3.46949754206,0.456
999,C1_13810W,1.59924615824,0.332
1000,C1_13820C,2.08215955753,-1.228
1001,C1_13830C,2.92548059134,0.972
1002,C1_13840W,-1.26666275203,-0.884
1003,C1_13850C,1.93184075612,-0.966
1004,C1_13870W,0.469497542061,2.462
1005,C1_13880C,1.71911143213,-0.773
1006,C1_13890C,1.70078636389,
1007,C1_13910C,0.516064360515,0.4
1008,C1_13920W,5.07501821472,0.193
1009,C1_13930W,1.99445273342,0.317
1010,C1_13950C,-4.1691969426,-0.29
1011,C1_13960W,-1.85885682199,-0.211
1012,C1_13970C,3.40834296024,0.305
1013,C1_13980C,2.4548507661,-0.567
1014,C1_13990W,-0.933587697063,0.573
1015,C1_14000C,-0.267468052105,0.589
1016,C1_14010W,1.21795877506,2.407
1017,C1_14020W,0.166089535144,1.173
1018,C1_14030W,2.15423317745,1.988
1019,C1_14040W,-0.916659357641,0.228
1020,C1_14050C,1.06253334332,-1.165
1021,C1_14060W,1.18812354552,-0.214
1022,C1_14100W,2.76154039496,-0.221
1023,C1_14120C,-0.724675005628,3.671
1024,C1_14130W,1.86876772548,3.582
1025,C1_14140C,4.75900415926,3.19
1026,C1_14160W,2.20533116674,-0.837
1027,C1_14170W,3.32105226803,-0.402
1028,C1_14180W,3.78499936779,-1.602
1029,C1_14190C,2.59909586773,-2.737
1030,C1_14200W,2.85740786332,-0.252
1031,C1_14210C,4.1581061866,1.952
1032,C1_14220C,2.52196496196,-3.637
1033,C1_14250C,0.344426776403,-1.445
1034,C1_14270W,1.81319625962,-0.939
1035,C1_14300C,0.297061321463,-0.68
1036,C1_14310W,-1.59747026903,0.696
1037,C1_14320C,2.87246220904,1.294
1038,C1_14330W,2.46037716373,-0.436
1039,C1_14340C,1.86841537598,-1.221
1040,C1_14360C,5.65536408737,-2.76
1041,C1_14370W,-4.96988813437,-3.055
1042,C1_14380C,-6.82971047633,-0.763
1043,C1_14400C,-5.34428364916,-0.439
1044,C1_14420W,-5.42445399784,0.629
1045,C1_14430C,-5.64126538691,0.473
1046,C1_14450C,-7.48178717291,-0.206
1047,C1_14470W,-7.41467297705,-1.155
1048,C1_14480W,-6.44381932271,-1.076
1049,C1_14500C,-4.21500063221,0.144
1050,C1_14520W,-7.00941649856,-0.463
1051,C1_14530W,-7.21500063221,-0.289
1052,C1_14550C,-1.4696405973,0.175
1053,C1_14560C,0.200036867068,-0.83
1054,C1_14570C,-4.85885682199,-1.084
1055,C1_14630C,-4.04789064638,-0.404
1056,C2_00010W,-0.536928727099,0.179
1057,C2_00040C,-3.31653865867,-0.404
1058,C2_00050C,1.84085260252,3.523
1059,C2_00060C,-0.941982137805,0.3
1060,C2_00080C,-2.85885682199,0.045
1061,C2_00100C,-2.79996313293,1.799
1062,C2_00120C,-2.58963577743,-1.371
1063,C2_00130W,-0.215000632211,-0.697
1064,C2_00140W,-2.17435864771,-1.275
1065,C2_00160C,0.57410258529,-0.747
1066,C2_00170C,-3.64796003949,-1.2
1067,C2_00180C,-3.69409449783,-0.727
1068,C2_00190C,-2.35795858605,-0.617
1069,C2_00210W,-3.76958948389,-1.894
1070,C2_00230W,0.728415839422,-0.612
1071,C2_00240C,0.463071272901,0.169
1072,C2_00250W,-3.447661389,0.146
1073,C2_00260C,-2.85441091695,-0.017
1074,C2_00270C,-2.26863859581,-1.73
1075,C2_00280C,-4.79996313293,-1.948
1076,C2_00320W,1.09620105608,0.223
1077,C2_00330C,-2.41467297705,-0.517
1078,C2_00340C,-0.375465304404,1.258
1079,C2_00350W,-3.96988813437,-0.59
1080,C2_00360C,-0.433180802261,-1.559
1081,C2_00370W,-2.07826429542,-1.345
1082,C2_00390C,-3.08536535179,-0.34
1083,C2_00400C,-6.07298162734,-0.246
1084,C2_00420W,-3.38492563365,-0.553
1085,C2_00430C,-0.536928727099,0.095
1086,C2_00440W,-4.30246347346,0.42
1087,C2_00460W,-3.70685372854,-0.762
1088,C2_00470W,4.13216475418,-0.389
1089,C2_00480C,0.299572540619,-2.123
1090,C2_00490W,-2.43739305355,-1.31
1091,C2_00500W,-3.64126538691,-1.343
1092,C2_00510W,-2.63453952372,-1.612
1093,C2_00520W,-1.34808886547,1.043
1094,C2_00530W,-0.893072537324,-0.581
1095,C2_00540W,-2.26944841623,-1.27
1096,C2_00550W,0.185537297373,-0.419
1097,C2_00560W,4.29596128707,-0.52
1098,C2_00580C,0.708378086186,1.108
1099,C2_00610C,-0.670680115987,1.143
1100,C2_00620C,1.00739178913,0.475
1101,C2_00630C,-0.255642616709,2.36
1102,C2_00640W,-6.13783277169,-0.678
1103,C2_00650W,-2.50918373662,-0.626
1104,C2_00660C,-1.06789633818,-0.02
1105,C2_00670C,-3.68448591551,3.588
1106,C2_00680C,-1.70042745938,0.984
1107,C2_00690W,0.271375648788,1.305
1108,C2_00720C,-2.21030893689,-0.447
1109,C2_00730C,1.74582877051,-1.043
1110,C2_00740C,3.49417389591,-0.261
1111,C2_00750W,-2.46292814565,4.198
1112,C2_00760C,-1.38492563365,0.269
1113,C2_00770W,-0.887425974183,0.753
1114,C2_00780W,1.39268194501,-0.184
1115,C2_00790C,-1.7240142797,0.102
1116,C2_00800C,2.95492436923,-0.141
1117,C2_00810C,-2.33047784963,0.35
1118,C2_00860C,1.9374897759,-4.317
1119,C2_00870W,1.18709781136,-0.962
1120,C2_00880W,-3.75932114843,-0.002
1121,C2_00890W,2.53393760362,-0.668
1122,C2_00900W,-3.59747026903,-1.054
1123,C2_00910W,0.860948221022,-0.353
1124,C2_00940W,0.36996186851,1.17
1125,C2_00960C,1.66764241715,0.941
1126,C2_00970C,-1.5548506351,0.136
1127,C2_00980W,-1.34428364916,-0.052
1128,C2_00990W,0.621500635506,0.614
1129,C2_01000W,-0.560775469053,-1.561
1130,C2_01010W,-1.42445399784,-3.174
1131,C2_01020W,3.35937711787,-3.642
1132,C2_01040W,-1.00528204091,0.386
1133,C2_01060C,-1.23808424532,-0.108
1134,C2_01080C,-3.18900542368,
1135,C2_01090C,-1.97581296833,2.079
1136,C2_01130W,-2.7886478197,-0.532
1137,C2_01140C,-0.429125437564,0.122
1138,C2_01150W,-0.480734187646,-0.136
1139,C2_01160W,4.94761956861,1.462
1140,C2_01170C,0.858999949233,0.211
1141,C2_01180W,-3.59351225546,-0.956
1142,C2_01190C,-2.00854975474,-0.195
1143,C2_01210C,1.59235428985,-1.021
1144,C2_01230W,-2.13699812021,-0.398
1145,C2_01240C,-0.852430552826,-0.973
1146,C2_01250W,-3.33047784963,1.452
1147,C2_01270W,0.972626370965,2.134
1148,C2_01290C,-3.38492563365,
1149,C2_01310W,-0.254528996398,0.073
1150,C2_01330C,-4.51268118085,0.407
1151,C2_01350C,-1.11371729637,0.408
1152,C2_01360C,-2.5369287271,0.005
1153,C2_01380W,0.0651072869816,1.234
1154,C2_01400C,-1.9894409318,2.85
1155,C2_01430W,-0.399425203349,0.401
1156,C2_01450C,4.46369730678,-0.353
1157,C2_01460C,-0.0578996711264,0.669
1158,C2_01470W,-0.992608210875,-0.236
1159,C2_01520W,-0.593512255465,-0.095
1160,C2_01540W,0.900476585209,-0.914
1161,C2_01550W,-2.38492563365,0.247
1162,C2_01560W,-1.5369287271,-0.444
1163,C2_01570W,-1.73284893707,0.243
1164,C2_01580W,-0.607739464381,0.494
1165,C2_01590W,0.519265812354,0.717
1166,C2_01620W,-4.07061072288,0.514
1167,C2_01630W,-2.89949880648,1.429
1168,C2_01640W,-1.31015786525,-0.559
1169,C2_01650W,0.095339488401,0.681
1170,C2_01660C,-3.55064700835,-0.232
1171,C2_01680C,1.37671923469,-0.773
1172,C2_01700C,-2.64796003949,0.843
1173,C2_01720C,-1.0094899275,-0.371
1174,C2_01750C,3.72583729532,-1.173
1175,C2_01760C,1.52850780782,-1.151
1176,C2_01770C,-1.26424415123,
1177,C2_01780W,0.28249902726,-1.349
1178,C2_01800W,1.32105226803,-1.691
1179,C2_01840C,-0.799963132932,-0.499
1180,C2_01850W,0.0749845701734,0.172
1181,C2_01860C,1.9703544098,0.705
1182,C2_01870C,1.70699685579,-1.033
1183,C2_01880C,1.03875596003,-0.786
1184,C2_01890W,-1.06299753877,-0.363
1185,C2_01900C,2.21286090743,0.168
1186,C2_01910W,0.267276204535,0.984
1187,C2_01920C,0.979646798642,0.388
1188,C2_01930C,0.784999367789,-0.861
1189,C2_01940C,-0.127537790961,2.055
1190,C2_01950C,-0.513081985144,0.525
1191,C2_01960C,-3.02692828406,0.505
1192,C2_01970C,1.09963497011,0.63
1193,C2_01980C,-0.350352485106,-0.511
1194,C2_02010C,-1.93989339408,1.754
1195,C2_02020W,2.53632025493,0.859
1196,C2_02030W,-0.421451509679,0.897
1197,C2_02040W,2.22357238153,0.082
1198,C2_02050C,0.191624627251,2.085
1199,C2_02060C,-3.65109974702,1.812
1200,C2_02070W,-2.19297432588,3.602
1201,C2_02080W,1.83424288681,-2.001
1202,C2_02090W,1.85211356365,0.42
1203,C2_02110C,-5.35795858605,0.155
1204,C2_02130C,-1.10808542829,-0.345
1205,C2_02140C,-0.603162425499,-1.171
1206,C2_02170W,-1.21500063221,-1.539
1207,C2_02180W,2.10692746268,-2.872
1208,C2_02190C,2.75900415926,-0.299
1209,C2_02200W,0.376114095492,-0.321
1210,C2_02210C,-3.45446656691,0.412
1211,C2_02220C,-1.71750097274,2.5
1212,C2_02230C,0.278039379069,0.624
1213,C2_02240C,0.376114095492,-0.238
1214,C2_02250C,2.0580178622,0.342
1215,C2_02260W,-4.59582241615,0.39
1216,C2_02280W,3.07778111702,0.665
1217,C2_02290C,2.86135025392,0.163
1218,C2_02320C,1.90047658521,1.342
1219,C2_02330W,3.78177546691,-0.042
1220,C2_02340C,0.691889963397,0.089
1221,C2_02360C,0.447964380511,1.401
1222,C2_02370C,-2.40366219624,-0.133
1223,C2_02390W,0.543110770827,1.062
1224,C2_02400W,-1.66566204122,0.139
1225,C2_02410W,-2.91544035035,-0.075
1226,C2_02420C,0.301790365868,-0.281
1227,C2_02440W,2.07918247219,-1.17
1228,C2_02470C,0.706143947078,0.376
1229,C2_02480W,-3.67443225085,
1230,C2_02490C,-0.826435344294,-1.038
1231,C2_02520W,0.0480337736226,0.093
1232,C2_02530W,-0.788467494094,0.267
1233,C2_02550C,-2.74551534891,0.985
1234,C2_02560W,-0.400556285367,-0.363
1235,C2_02570W,4.60942780321,-1.31
1236,C2_02580W,-2.5748965773,-1.323
1237,C2_02600C,-1.85545824552,1.335
1238,C2_02610C,0.784999367789,0.357
1239,C2_02620W,3.68586617577,0.052
1240,C2_02640C,1.39420941476,-0.404
1241,C2_02650C,-0.825054113895,
1242,C2_02670C,2.61788938195,0.204
1243,C2_02680W,2.66231684801,0.805
1244,C2_02690W,-0.790274076764,0.963
1245,C2_02700C,3.00223008401,0.509
1246,C2_02720W,1.51947540993,-0.545
1247,C2_02740C,0.461302180048,-0.228
1248,C2_02750C,0.913323464764,0.4
1249,C2_02760W,-0.166241320291,0.403
1250,C2_02780C,-0.303677790287,0.446
1251,C2_02790C,1.15536781773,2.001
1252,C2_02820C,-0.616098940532,-0.587
1253,C2_02830C,-5.14143141422,0.238
1254,C2_02840C,3.63331942252,0.021
1255,C2_02850W,0.132018443639,4.002
1256,C2_02880C,2.52196496196,3.05
1257,C2_02890W,0.650982019817,1.099
1258,C2_02910W,2.66541775204,6.101
1259,C2_02920W,2.15845776332,-0.02
1260,C2_02930C,2.33679500457,-0.433
1261,C2_02940W,1.63082843766,-0.83
1262,C2_02950W,2.23245834476,1.975
1263,C2_02960C,-0.557602295363,0.687
1264,C2_02980C,3.401257999,1.823
1265,C2_02990C,-1.51756340223,0.114
1266,C2_03020C,-2.24053572432,0.638
1267,C2_03030W,0.615074366347,0.061
1268,C2_03040W,-1.40764571015,1.881
1269,C2_03050W,0.266126057525,0.405
1270,C2_03110W,-2.32747536147,0.702
1271,C2_03120W,0.375416298602,2.279
1272,C2_03130W,-0.306148520269,-0.14
1273,C2_03140C,2.31701298856,-1.845
1274,C2_03150C,-0.682126642638,-0.528
1275,C2_03170W,1.57854849032,3.301
1276,C2_03180C,-3.43996699721,-1.074
1277,C2_03210W,0.924724131455,0.86
1278,C2_03220C,1.763625717,0.332
1279,C2_03230C,-1.41034823053,0.35
1280,C2_03240C,1.18188952036,-0.607
1281,C2_03250W,0.743179192094,-0.05
1282,C2_03260W,1.92899590424,0.375
1283,C2_03290W,-1.11312101819,0.024
1284,C2_03320W,-2.55814521301,-2.42
1285,C2_03330C,0.223120480181,0.115
1286,C2_03340W,-1.53412465422,0.11
1287,C2_03350W,1.63122718149,1.349
1288,C2_03360W,2.78499936779,-0.345
1289,C2_03370W,2.42885555756,0.207
1290,C2_03380W,3.33958821947,0.511
1291,C2_03390C,-1.72870444976,-1.141
1292,C2_03400C,3.90838178329,-0.048
1293,C2_03410W,-1.05453596002,0.162
1294,C2_03420C,0.106927462676,0.11
1295,C2_03440W,-0.106359372207,0.408
1296,C2_03450W,-1.59687126755,0.616
1297,C2_03460C,2.39183636813,0.405
1298,C2_03480C,1.98467171263,0.343
1299,C2_03490C,1.82247407321,0.402
1300,C2_03500W,-0.0450756307689,-0.51
1301,C2_03520C,3.62324829779,-1.316
1302,C2_03530W,0.659468485705,-0.853
1303,C2_03540W,-1.14573796977,-1.674
1304,C2_03550C,1.47305536147,-0.935
1305,C2_03570C,-1.31261142884,-0.037
1306,C2_03580W,1.30856132385,0.876
1307,C2_03590C,1.62630162177,-0.232
1308,C2_03600W,1.86028749509,-0.524
