,Standard name,S score (FLC-NoDrug),RNA Seq A17 in vs. out
107,C1_01710W,-0.215000632211,-0.623
108,C1_01720C,-0.215000632211,-0.568
109,C1_01730W,-0.215000632211,
110,C1_01740W,-0.215000632211,-0.368
111,C1_01750W,-0.215000632211,0.073
112,C1_01760W,-0.215000632211,0.676
113,C1_01770W,-0.215000632211,1.632
114,C1_01780C,-0.215000632211,-0.981
115,C1_01800W,-0.215000632211,-0.398
116,C1_01810C,-0.215000632211,0.268
117,C1_01840C,-0.215000632211,-1.23
118,C1_01860W,-0.215000632211,-0.416
119,C1_01870C,-0.215000632211,0.393
120,C1_01880C,-0.215000632211,-0.73
121,C1_01890C,-0.215000632211,-0.113
122,C1_01900C,-0.215000632211,0.367
123,C1_01910W,-0.215000632211,-0.094
124,C1_01920W,-0.215000632211,-1.427
125,C1_01930W,-0.215000632211,0.438
126,C1_01970W,-0.215000632211,1.91
127,C1_01980W,-0.215000632211,-1.921
128,C1_01990W,-0.215000632211,-5.251
129,C1_02000W,-0.215000632211,-0.227
130,C1_02010C,-0.215000632211,-0.885
131,C1_02020W,-0.215000632211,0.538
132,C1_02030C,-0.215000632211,0.487
133,C1_02040C,-0.215000632211,-0.338
134,C1_02050C,-0.215000632211,-1.217
135,C1_02060W,-0.215000632211,1.104
136,C1_02070W,-0.215000632211,2.114
137,C1_02080W,-0.215000632211,-0.665
138,C1_02090C,-0.215000632211,-0.94
139,C1_02100W,-0.215000632211,0.039
140,C1_02110C,-0.215000632211,-2.395
141,C1_02120C,-0.215000632211,-1.472
142,C1_02130C,-0.215000632211,-0.473
143,C1_02140C,-0.215000632211,-2.384
144,C1_02150W,-0.215000632211,-1.561
145,C1_02170C,-0.215000632211,-1.702
146,C1_02180W,-0.215000632211,-1.474
147,C1_02190W,-0.215000632211,-0.098
148,C1_02200C,-0.215000632211,0.286
149,C1_02210W,-0.215000632211,-0.27
150,C1_02220C,-0.215000632211,0.47
151,C1_02260C,-0.215000632211,-0.002
152,C1_02270C,-0.215000632211,-0.443
153,C1_02280C,-0.215000632211,-1.083
154,C1_02290C,-0.215000632211,1.063
155,C1_02300W,-0.215000632211,0.099
156,C1_02320C,-0.215000632211,-0.68
157,C1_02330C,-0.215000632211,-1.998
158,C1_02340C,-0.215000632211,
159,C1_02350W,-0.215000632211,0.724
160,C1_02360C,-0.215000632211,1.056
161,C1_02370C,-0.215000632211,1.849
162,C1_02390W,-0.215000632211,-0.699
163,C1_02400C,-0.215000632211,0.592
164,C1_02410C,-0.215000632211,0.512
165,C1_02430C,-0.215000632211,-0.057
166,C1_02440C,-0.215000632211,0.069
167,C1_02470W,-0.215000632211,-1.506
168,C1_02490C,-0.215000632211,-0.042
169,C1_02500W,-0.215000632211,-0.696
170,C1_02520W,-0.215000632211,-2.117
171,C1_02530C,-0.215000632211,-1.517
172,C1_02540C,-0.215000632211,
173,C1_02560W,-0.215000632211,-0.323
174,C1_02570C,-0.215000632211,0.197
175,C1_02580W,-0.215000632211,0.174
176,C1_02590C,-0.215000632211,4.261
177,C1_02600W,-0.215000632211,2.266
178,C1_02610W,-0.215000632211,-0.674
179,C1_02630C,-0.215000632211,0.803
180,C1_02650W,-0.215000632211,0.683
181,C1_02670C,-0.215000632211,0.035
182,C1_02680C,-0.215000632211,-0.228
183,C1_02690C,-0.215000632211,2.421
184,C1_02700C,-0.215000632211,-2.189
185,C1_02720W,-0.215000632211,0.05
186,C1_02730W,-0.215000632211,-0.459
187,C1_02740C,-0.215000632211,-0.49
188,C1_02760W,-0.215000632211,0.381
189,C1_02780W,-0.215000632211,2.188
190,C1_02800W,-0.215000632211,-1.503
191,C1_02810W,-0.215000632211,-2.424
192,C1_02820W,-0.215000632211,-0.086
193,C1_02830W,-0.215000632211,-0.221
194,C1_02840W,-0.215000632211,-0.862
195,C1_02850W,-0.215000632211,0.678
196,C1_02870W,-0.215000632211,0.561
197,C1_02890C,-0.215000632211,0.446
198,C1_02910C,-0.215000632211,0.969
199,C1_02920W,-0.215000632211,-0.011
200,C1_02940C,-0.215000632211,0.584
201,C1_02950W,-0.215000632211,0.752
202,C1_02970W,-0.215000632211,1.269
203,C1_02980W,-0.215000632211,2.687
204,C1_02990C,-0.215000632211,3.924
205,C1_03000W,-0.215000632211,0.332
206,C1_03040W,-0.215000632211,-0.67
207,C1_03050W,-0.215000632211,-0.949
208,C1_03060C,-0.215000632211,-0.674
209,C1_03100W,-0.215000632211,-1.316
210,C1_03120W,-0.215000632211,-0.805
211,C1_03130C,-0.215000632211,0.875
212,C1_03140W,-0.215000632211,0.941
213,C1_03150C,-0.215000632211,-0.425
214,C1_03170C,-0.215000632211,-0.271
215,C1_03190C,1.78499936779,1.765
216,C1_03200C,2.10692746268,0.264
217,C1_03240W,2.95492436923,0.442
218,C1_03250C,2.59235428985,-0.356
219,C1_03260W,0.784999367789,-1.167
220,C1_03270W,2.10692746268,-1.923
221,C1_03320C,2.10692746268,-1.032
222,C1_03330C,0.784999367789,-0.97
223,C1_03360W,4.24443098643,-1.082
224,C1_03390W,3.6918899634,1.524
225,C1_03400W,2.10692746268,-1.862
226,C1_03410W,4.36996186851,-0.126
227,C1_03420W,0.784999367789,
