S score (FLC+Geld-FLC),RNA Seq A17 in vs. out
-3.4278964296,-0.463
-2.3058500136,-0.643
-2.726107404,0.008
0.0185881379000001,0.52
-10.5295120536,-0.574
-1.4930676395,-0.984
-1.2586283917,4.146
-0.0366047408999997,2.248
-5.4131680923,0.182
4.0330881375,-0.117
-1.9870838696,-1.408
-2.6612888024,-0.243
-3.872599711,0.065
-0.967756943999998,0.713
-1.1175193223,1.818
1.4094356568,-0.385
-8.2460581065,0.255
-2.661619175,0.15
-0.346760148,0.54
-5.0570242822,0.484
0.0783675443000007,0.368
-3.1212411354,-0.461
-7.4018527791,4.385
-2.6355605137,-0.429
-6.7604203436,0.242
-2.8346318608,1.332
-1.325882877,-1.022
-4.7968723848,1.016
2.46750968871,-0.553
-1.6391660241,1.135
-0.532853465599999,0.493
-0.158710366299999,-2.028
-0.9607391433,0.4
0.694980711500001,-0.214
-2.0522072658,-0.699
-1.4307621524,-0.69
-1.8090042853,2.549
-1.4515491841,-1.167
-7.6419867828,-0.697
-1.9714132548,-0.714
-0.646965277000001,-0.303
0.0072829031000019,0.502
-0.578098707899999,-1.68
-1.6748225889,-1.239
-0.432192917999998,-0.469
-0.848815871299999,-1.596
-2.5037706411,-0.219
-1.0244709853,0.361
-2.6844701142,-0.997
1.0759343929,-0.795
-8.3478418445,-0.541
-0.0420739407000035,-1.032
-0.2452234551,-0.134
-1.2898336508,0.01
2.1402643933,-0.31
-0.791679715699999,0.107
-3.7632668599,0.089
-1.7273118426,-1.193
-2.9282733087,0.182
-6.6799546331,0.202
-3.3869024377,0.399
-1.0429557924,-0.596
-1.7592436587,-0.184
-2.5664143527,-1.04
-2.0912399975,0.062
-1.8147395241,0.985
-3.868659713,-0.743
-2.7350961872,-1.319
-1.5688894741,0.578
-1.9444427222,-0.309
-2.4131680924,-0.098
-1.9147145849,0.326
-5.1982702076,-0.137
-0.835714312399999,0.098
-2.0754726816,0.93
-2.6961994068,0.236
-7.0358855151,1.823
-1.7560558059,0.322
-3.261164999,1.083
-1.1850221438,0.796
-6.3858607464,-3.257
-2.5458652984,-3.352
-2.2321420977,-0.293
-1.2346441227,-1.079
-7.6029926512,1.626
-7.8140475286,0.699
-3.7643081085,-0.658
-6.0024179515,1.158
-0.029157488700001,1.292
-2.1111395549,1.027
-7.6274872131,-0.418
0.586831907700002,-0.279
-1.3935392856,0.31
-0.413168092299998,-0.081
1.4409810411,0.796
-0.413168092299998,-0.196
1.3711032165,-1.081
-2.0828532721,-0.937
-5.9523269035,-1.039
-1.3112884784,-1.748
-2.0346564692,-0.176
4.5868319077,-0.184
-8.5269102584,-2.364
-0.413168092299998,-0.315
-2.5043159805,0.006
-1.1382505779,-1.563
-1.4131680923,0.4
0.8644416529,-1.145
-6.2333470548,-0.339
-6.8929483564,-0.426
-2.7545565013,-0.008
0.3330753153,0.675
-3.810058245,-0.126
-0.2005911122,-1.311
-0.931327222499998,0.912
-0.795784114,-0.583
-1.2721915194,-1.322
1.3941868297,0.036
-3.0087308982,-0.987
-2.1311327246,-1.276
3.5965470624,-1.027
-3.1120656457,1.449
1.5934956379,-0.477
-0.413168092299998,-2.03
0.274667272,-0.838
-0.413168092299998,-0.102
-1.6833484127,-0.613
-2.1852161457,0.871
-0.4242063639,0.263
-0.413168092299998,-0.922
-1.3517675478,0.498
-8.5112001753,1.996
-0.413168092299998,1.158
-3.5830930938,0.108
-1.2271561068,0.812
0.0018694069000027,-0.513
-1.7972178992,-0.79
-3.622621458,5.353
-1.6861865868,-1.156
-0.6762024983,-2.266
0.1374429035,-1.13
-1.3015227366,0.276
-5.9050211887,0.467
-0.413168092299998,0.189
-1.9482994372,-1.222
-8.3556825977,0.7
-1.313079768,0.897
0.6507788244,-0.357
-0.699661471099999,0.171
-5.0368110613,0.24
-0.5144136049,-1.679
-2.8880770477,-3.3
-3.4330676498,-1.262
-6.2711490875,0.561
1.1412276921,-0.989
-8.748558447,-0.766
0.0167171712999998,-0.136
0.2934102404,-0.047
-8.2333470548,-1.383
0.0545646761,-1.587
0.586831907700002,0.762
-3.5830930938,0.277
-1.2188464366,-0.695
-2.2548234721,-0.819
-0.413168092299998,0.37
-0.413168092299998,-0.069
-6.2460581065,-0.151
-3.1816601921,0.698
-0.413168092299998,-0.314
-1.4840515785,-0.746
-1.9620613384,1.401
-1.4575622117,0.44
-0.745743431499999,6.843
-0.244770560700001,-0.44
-5.7299344822,-1.072
-0.7026747096,-1.403
-3.0877678056,-0.736
-4.0996686195,1.404
2.7567569091,-0.407
-3.67412817,-2.874
-0.0979658605999987,-0.596
-1.0053098187,0.006
-1.2163107631,-0.691
-2.2861792061,-1.283
-2.102934309,0.906
-3.2705636969,1.27
-2.8363795231,0.773
-3.7350961872,0.027
-0.9203868141,-4.181
-0.413168092299998,-0.072
-1.2176172832,-0.394
-0.971163545500001,0.087
-2.166898569,2.528
-2.6039334371,1.785
-1.6309216189,-1.071
-2.329277218,-1.375
-2.9981305931,-1.17
-0.3292520421,-0.097
-5.5424511093,-0.597
-7.2075839587,-0.856
-9.2492184474,-0.989
-4.872599711,0.174
-2.0218596649,-0.075
-4.3784026743,2.83
1.4613010255,0.191
-4.1166872035,0.294
-1.5373658202,-1.512
0.0502324284999993,0.845
1.2319891903,-1.021
1.7010890869,-0.558
-9.9715888056,-1.138
3.1717944084,-0.911
-0.413168092299998,-0.201
-1.2662106525,-1.723
-2.0958065242,1.938
-9.7596818255,0.572
-5.5424511093,-0.416
-6.2205230144,1.905
0.0703491448000015,-0.929
-7.3079858557,1.567
-1.6932760116,1.65
-8.4131680923,0.827
0.186293978000002,-0.46
-9.0278779365,-0.578
-3.2205230144,0.424
-0.998130593100001,-0.561
-4.5006309336,0.331
-0.0639326515000001,-1.153
-1.5233510101,1.05
0.845566176000002,-1.085
-0.413168092299998,2.106
-9.0749461901,1.586
-6.1136078105,-0.939
